CountyFIPS,Marc_CountyID1,FIPS,LocalityName,Population2024,OUD_Deaths2024,OUDCases2024,Labor_Fatal,Labor_OUD,Labor_Incarceration,Labor_Total,Labor_PerCapita,Health_ED,Health_Hosp,Health_AmbulanceNalax,Health_Indirect,Health_Total,Health_PerCapita,Crime_Total,Crime_PerCapita,ChildFamily_Assistance,ChildFamily_K12Ed,ChildFamily_Total,ChildFamily_PerCapita,Total_Total,Total_PerCapita,HouseholdSector_Total,FedGovtSector_Total,StateLocalSector_Total,MedianAgeYRs,MedianHHIncome,PovertyPct,SevereRentBurdenPct,Uninsured,Hlth_Dist_Name,Hlth_Region_Name,CooperCtrRegionName,CategoryName,CategoryDescription,Urban_Rural,Metro_NonMetro
51183,183,us-va-183,Sussex County,10753,2.04,141.18098579966,1754138.1905,456443.3181,20213.3312,2230794.8398,207.4579,83762.7931,615046.9893,43855.1018,1469382.4351,2212047.3193,205.7144,63154.3741,5.8732,285903.2789,179333.9754,465237.2544,43.2658,4971233.7876,462.3113,2215785.1503,2000559.8983,754888.7391,40.8,63530,9.8,22,11.2,Crater,Central,Southside Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51043,43,us-va-043,Clarke County,15598,0,70.5904928998301,0,423863.5491,37541.1096,461404.6587,29.581,26175.8729,192202.1842,13704.7193,362688.2419,594771.0182,38.1312,63154.3741,4.0489,422639.6297,89666.9877,512306.6174,32.8444,1631636.6684,104.6055,498402.5999,794430.7678,338803.3008,48.4,117111,7.3,38.6,7.8,Lord Fairfax,Northwestern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51730,730,us-va-730,Petersburg City,34058,12.24,1058.85739349745,9421210.835,3859703.788,369197.5122,13650112.1352,400.7902,211761.4247,1554905.4883,110870.4532,6167605.9745,8045143.3408,236.2189,1023100.8606,30.04,1485453.9928,1345004.8156,2830458.8083,83.107,25548815.1449,750.1561,12099549.0874,9104864.8882,4344401.1694,35.8,50698,19.9,26.8,9.6,Crater,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51127,127,us-va-127,New Kent County,27218,1.02,70.5904928998301,1050413.5687,368860.0045,307093.3804,1726366.9536,63.4274,39263.8093,288303.2762,20557.079,708208.3024,1056332.4668,38.8101,593651.1167,21.811,932293.3009,89666.9877,1021960.2886,37.5472,4398310.8258,161.5957,1560544.7298,1830901.2705,1006864.8255,42.9,123314,4.4,18.6,5.2,Chickahominy,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51085,85,us-va-085,Hanover County,115309,14.28,1058.85739349745,16820249.2809,6312455.5501,1334354.2242,24467059.0553,212.1869,212024.5701,1556837.6917,111008.2264,6596479.2639,8476349.7521,73.5099,2260926.5932,19.6075,2597990.6652,1345004.8156,3942995.4807,34.195,39147330.8813,339.4994,20097819.3764,12838475.9113,6211035.5935,42.7,112805,5,19.9,5.6,Chickahominy,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51181,181,us-va-181,Surry County,6579,0,13.1149452086734,0,62983.6603,6005.0781,68988.7384,10.4862,7852.7619,57660.6552,4111.4158,97629.8993,167254.7322,25.4225,12630.8748,1.9199,133628.7065,16659.1503,150287.8568,22.8436,399162.2022,60.6722,96004.1428,219309.4192,83848.6402,50.4,78041,9.2,19,4.9,Crater,Central,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51093,93,us-va-093,Isle of Wight County,40942,3.06,423.54295739898,3311516.9186,2161735.9609,178698.3153,5651951.1948,138.0478,62822.0948,461285.242,32891.3263,1862060.9582,2419059.6214,59.085,353664.495,8.6382,870140.4142,538001.9262,1408142.3404,34.3936,9832817.6516,240.1646,4761746.4368,3442613.0396,1628458.1752,43.8,95241,7,22.9,7.2,Western Tidewater,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51101,101,us-va-101,King William County,19232,1.02,141.18098579966,1354759.3889,956748.4631,101685.74,2413193.592,125.478,47116.5711,345963.9315,24668.4948,885516.138,1303265.1353,67.7655,151570.4979,7.8812,581129.4909,179333.9754,760463.4663,39.5416,4628492.6915,240.6662,2106716.1485,1778828.2014,742948.3416,40.9,86056,5.1,29.1,6.9,Three Rivers,Eastern,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51570,570,us-va-570,Colonial Heights City,18674,6.12,423.54295739898,6005760.7873,2009228.9272,522001.6477,8536991.3622,457.1592,40208.7738,295241.8886,21051.8274,2272591.6639,2629094.1537,140.789,1111516.9844,59.5222,31076.4434,538001.9262,569078.3696,30.4744,12846680.8699,687.9448,6933506.0444,3675772.2719,2237402.5535,38.2,76505,8.2,32,8.7,Chesterfield,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51610,610,us-va-610,Falls Church City,15034,0,35.368086700251,0,218622.0102,38646.4463,257268.4565,17.1124,21177.15,155497.9469,11087.5728,263286.0975,451048.7673,30.0019,63154.3741,4.2008,12430.5773,44926.0186,57356.5959,3.8151,828828.1938,55.1303,310527.6136,338637.3846,179663.1956,40.5,143262,5,19.9,2.7,Fairfax,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51650,650,us-va-650,Hampton City,137596,22.44,1976.53380119524,21392179.1197,9256112.5941,1540059.0597,32188350.7735,233.9338,405726.0292,2979133.8544,212423.1493,11533227.0343,15130510.0673,109.9633,3321920.0783,24.1426,4437716.1123,2510675.6557,6948391.768,50.4985,57589172.6871,418.5381,27531660.4652,20108929.4473,9948582.7747,36.8,69621,10.9,29.6,10.4,Hampton,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51600,600,us-va-600,Fairfax City,26340,2.04,211.77147869949,2299229.3267,1281122.3288,45387.0155,3625738.671,137.6514,37102.9754,272436.8712,19425.7462,1095170.1624,1424135.7552,54.0674,75785.2489,2.8772,12430.5773,269000.9631,281431.5405,10.6846,5407091.2156,205.2806,3012737.5839,1667593.5948,726760.0369,36.6,132348,10.3,25.4,10.8,Fairfax,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51199,199,us-va-199,York County,71410,6.12,564.72394319864,6447090.4226,2947879.241,502598.8111,9897568.4746,138.602,86380.3804,634267.2077,45225.5737,2935441.8285,3701314.9904,51.8319,972577.3613,13.6196,2638390.0415,717335.9016,3355725.9432,46.9924,17927186.7695,251.0459,8210785.0688,6633925.2335,3082476.4672,39.9,109956,5.8,23.3,4.8,Peninsula,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51061,61,us-va-061,Fauquier County,75865,7.14,564.72394319864,8574372.8198,3519965.4115,662488.5316,12756826.7629,168.1517,154437.6498,1133992.8865,80857.8439,3837103.108,5206391.4882,68.6271,1073624.3599,14.1518,1671912.6529,717335.9016,2389248.5546,31.4934,21426091.1656,282.4239,10688199.0777,7369018.2091,3368873.8788,41.2,130189,6.4,17,8.4,Rappahannock/Rapidan,Northwestern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51683,683,us-va-683,Manassas City,43616,10.2,705.9049289983,11292889.8184,4215947.006,985780.2306,16494617.0549,378.1781,57572.9969,422742.5696,30143.0927,3692129.0125,4202587.6717,96.3543,1667275.4766,38.2262,1712312.0293,896669.877,2608981.9064,59.8171,24973462.1095,572.5757,13146191.4932,7799571.1174,4027699.4989,34.8,113590,6.1,27.2,24.4,Prince William,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51157,157,us-va-157,Rappahannock County,7479,0,30.6015388202378,0,166866.1204,75002.3433,241868.4637,32.3397,18323.111,134541.5289,9593.3035,227803.0984,390261.0418,52.1809,138939.623,18.5773,239288.6139,38871.3507,278159.9646,37.1921,1049229.0932,140.29,286519.6919,492456.1069,270253.2944,50.6,83380,10.6,23,15.7,Rappahannock/Rapidan,Northwestern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51073,73,us-va-073,Gloucester County,40154,5.1,494.13345029881,4736447.7195,2080417.663,231641.4094,7048506.7918,175.5369,47116.5711,345963.9315,24668.4948,2227233.5262,2644982.5235,65.871,555758.4922,13.8407,1926739.4885,627668.9139,2554408.4025,63.6153,12803656.21,318.8638,5844790.9087,4760737.7396,2198127.5617,44.8,84306,4.8,10,7.8,Three Rivers,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51149,149,us-va-149,Prince George County,43589,2.04,141.18098579966,2180266.4717,741602.4487,505758.1787,3427627.0991,78.6351,271022.0431,1990039.7947,141897.1221,3363940.3982,5766899.3581,132.3017,972577.3613,22.3124,1056599.0744,179333.9754,1235933.0498,28.3542,11403036.8683,261.6035,4078971.9174,5033926.1152,2290138.8357,33.2,84897,8,13.7,6.9,Crater,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51153,153,us-va-153,Prince William County,497003,49.98,4306.02006688963,54127755.7827,24938011.9592,5749942.824,84815710.5659,170.6543,656042.5571,4817138.7864,343479.6292,23048952.4329,28865613.4055,58.0794,10028914.609,20.1788,16883831.6793,5469686.25,22353517.9293,44.9766,146063756.5098,293.8891,69637510.0057,50941038.1734,25485208.3307,36.3,131402,5.6,22.4,13.3,Prince William,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51075,75,us-va-075,Goochland County,28223,2.04,211.77147869949,2447810.304,1132844.3332,86956.7629,3667611.4,129.9512,39263.8093,288303.2762,20557.079,1117031.9669,1465156.1314,51.9136,164201.3727,5.818,584237.1352,269000.9631,853238.0983,30.232,6150207.0025,217.9147,3059204.1736,2165992.7242,925010.1047,50.5,118931,5,9.7,4.3,Chickahominy,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51115,115,us-va-115,Mathews County,8602,1.02,70.5904928998301,961877.9402,243945.7788,17284.7988,1223108.5178,142.1889,13087.9364,96101.0921,6852.3597,443379.1505,559420.5386,65.0338,50523.4993,5.8735,382240.2534,89666.9877,471907.2411,54.8602,2304959.7968,267.9563,1039730.393,908817.2976,356412.1061,55,75880,8.3,20.1,11.7,Three Rivers,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
